mod_id;param_id;in_number
electrostatic_pressure_model;relative_permittivity;1
electrostatic_pressure_model;vacuum_permittivity;2
electrostatic_pressure_model;dielectric_strength;3
calc_max_block_load_hold;max_magnetic_stress;1
calc_max_block_load_hold;twinning_stress;2
calc_magnetization;magnetic_field_strength;1
calc_magnetization;flux_density;2
calc_magnetization;vacuum_permeability;3
calc_flux_density;vacuum_permeability;1
calc_flux_density;relative_permeability;2
calc_flux_density;magnetic_field_strength;3
calc_mag_polarization;magnetization;1
calc_mag_polarization;vacuum_permeability;2
calc_rel_perm;magnetic_polarization;1
calc_rel_perm;magnetic_field_strength;2
calc_rel_perm;vacuum_permeability;3
calc_magnetic_stress;magnetic_field_strength;1
calc_magnetic_stress;easy_hard_axis;3
calc_magnetic_stress;maximum_strain_mag;4
calc_magnetic_stress;mag_energy_density;2
calc_mag_energy_density;magnetic_field_strength;1
calc_mag_energy_density;easy_hard_axis;3
calc_mag_energy_density;magnetic_polarization;2
calc_young_modulus_minR;mechanic_stress;1
calc_young_modulus_minR;strain;2
calc_young_modulus_Neo_Hookean_minR;strain;2
calc_young_modulus_Neo_Hookean_minR;mechanic_stress;1
calc_yeoh_minR;mechanic_stress;1
calc_yeoh_minR;strain;2
matrix_model_1;A;1
matrix_model_2;A;1
matrix_model_2;B;2
matrix_model_3;A;1
matrix_model_3;B;2
matrix_model_3;C;3
matrix_model_4;A;1
matrix_model_4;B;2
matrix_model_4;C;3
matrix_model_5;B;1
matrix_model_5;C;2
matrix_model_6;C;1
calc_martensite_asc;temperature;1
calc_martensite_asc;martensite_finish_temperature;2
calc_martensite_asc;martensite_start_temperature;3
calc_martensite_desc;temperature;1
calc_martensite_desc;austenite_start_temperature;2
calc_martensite_desc;austenite_finish_temperature;3
1d_non_linear_mech_mod_v1;strain;1
1d_non_linear_mech_mod_v2;strain;1
1d_non_linear_mech_mod_v3;strain;1
1d_non_linear_mech_mod_v1;E-modulus_austenite;2
1d_non_linear_mech_mod_v2;E-modulus_austenite;2
1d_non_linear_mech_mod_v3;E-modulus_austenite;2
1d_non_linear_mech_mod_v1;E-modulus_twinned_martensite;3
1d_non_linear_mech_mod_v2;E-modulus_twinned_martensite;3
1d_non_linear_mech_mod_v3;E-modulus_twinned_martensite;3
1d_non_linear_mech_mod_v1;martensite_content;4
1d_non_linear_mech_mod_v2;martensite_content;4
1d_non_linear_mech_mod_v3;martensite_content;4
1d_non_linear_mech_mod_v2;plateau_start_strain;5
1d_non_linear_mech_mod_v3;plateau_start_strain;5
1d_non_linear_mech_mod_v2;hardening_parameter;6
1d_non_linear_mech_mod_v3;hardening_parameter;6
1d_non_linear_mech_mod_v3;plateau_finish_strain;7
1d_non_linear_mech_mod_v3;E-modulus_de-twinned_martensite;8
calc_max_magn_stress;magnetic_stress;1
calc_max_blocking_stress_PC;B00;1
calc_max_blocking_stress_PC;A00;2
calc_max_blocking_stress_PC;dielectric_strength;3
calc_neo_hookean_initial_slope;initial_strain;2
calc_neo_hookean_initial_slope;initial_stress;1
calc_young_modulus_initial_slope;initial_strain;2
calc_young_modulus_initial_slope;initial_stress;1
linear_interpolation_initial_stress;initial_strain;1
linear_interpolation_initial_stress;strain;2
linear_interpolation_initial_stress;mechanic_stress;3
calc_max_magn_stress;magnetic_field_strength;2
calc_maximum_strain_mag;lattice_constant_c;1
calc_maximum_strain_mag;lattice_constant_a;2
