mod_id;param_id;out_number
electrostatic_pressure_model;maximal_blocking_stress;1
calc_max_block_load_hold;maximal_blocking_stress_load;1
calc_max_block_load_hold;maximal_blocking_stress_hold;2
calc_magnetization;magnetization;1
calc_mag_polarization;magnetic_polarization;1
calc_flux_density;flux_density;1
calc_rel_perm;relative_permeability;1
calc_magnetic_stress;magnetic_stress;1
calc_mag_energy_density;mag_energy_density;1
calc_young_modulus_initial_slope;young_modulus;1
calc_neo_hookean_initial_slope;young_modulus_neo_Hookean;1
calc_young_modulus_minR;young_modulus;1
calc_young_modulus_Neo_Hookean_minR;young_modulus_neo_Hookean;1
calc_yeoh_minR;Yeoh_vector_1;1
calc_yeoh_minR;Yeoh_vector_2;2
calc_yeoh_minR;Yeoh_vector_3;3
matrix_model_1;A;1
matrix_model_2;B;1
matrix_model_3;C;1
matrix_model_4;A;1
matrix_model_5;B;1
matrix_model_6;C;1
calc_martensite_desc;martensite_content;1
calc_martensite_asc;martensite_content;1
1d_non_linear_mech_mod_v1;mechanic_stress;1
1d_non_linear_mech_mod_v2;mechanic_stress;1
1d_non_linear_mech_mod_v3;mechanic_stress;1
calc_max_magn_stress;max_magnetic_stress;1
calc_max_blocking_stress_PC;maximal_blocking_stress;1
linear_interpolation_initial_stress;initial_stress;1
calc_maximum_strain_mag;maximum_strain_mag;1
